DATABASE;TABLES;DISTRIBUTION;TABLE_RECORDS;TABLE_TARGET_OPS;TOTAL_RECORDS;TOTAL_OPS;RESULT;DURATION (H);AVG_CPU (%);AVG_MEM (MB);AVG_NET_IN (MB);AVG_NET_OUT (MB);AVG_DISK_WRITE (MB);AVG_DISK_READ (MB);COMMENTS
mysql;1;uniform;1 M;100;1 M;100;1,000;5,64;0,96;417;172;538;0,866;0,003;
mysql;1;uniform;1 M;200;1 M;200;1,000;2,81;1,75;433;351;1097;0,851;0,007;
mysql;1;uniform;1 M;300;1 M;300;1,000;1,89;2,41;401;493;1554;0,984;0,000;
mysql;1;uniform;1 M;400;1 M;400;1,000;1,41;2,75;240;686;2180;0,996;0,000;
mysql;1;uniform;1 M;500;1 M;500;1,000;1,15;3,13;389;825;2632;0,904;0,000;
mysql;1;uniform;1 M;600;1 M;600;1,000;0,96;3,40;406;995;3170;0,808;0,000;
mysql;1;uniform;1 M;700;1 M;700;1,000;0,82;3,94;425;1178;3768;1,030;0,007;
mysql;1;uniform;1 M;800;1 M;800;1,000;0,73;3,81;420;1275;4078;0,986;0,000;
mysql;1;uniform;1 M;900;1 M;900;1,000;0,64;4,12;436;1450;4660;0,963;0,000;
mysql;1;uniform;1 M;1000;1 M;1000;0,000;0,61;4,04;470;1582;5049;0,851;0,052;MySQL cant keep up with the troughput (927 op/s). Debezium performing the same way as the database
mysql;2;uniform;1 M;300;2 M;600;1,000;1,88;2,71;443;975;3141;1,030;0,003;
mysql;2;uniform;1 M;400;2 M;800;1,000;1,41;3,38;408;1284;4159;0,865;0,003;
mysql;2;uniform;1 M;450;2 M;900;1,000;1,26;3,57;424;1485;4862;1,040;0,004;
mysql;2;uniform;1 M;475;2 M;950;0,000;1,23;3,40;496;1443;4710;1,130;0,004;MySQL cant keep up with the troughput (932 op/s). Debezium performing the same way as the database
mysql;3;uniform;1 M;275;3 M;825;1,000;2,04;3,34;423;1344;4382;1,040;0,002;
mysql;3;uniform;1 M;300;3 M;900;0,000;1,90;3,43;418;1469;4809;0,982;0,000;MySQL cant keep up with the troughput (895 op/s). Debezium performing the same way as the database
mysql;4;uniform;1 M;210;4 M;840;1,000;2,67;3,12;476;1377;4513;0,982;1,950;
mysql;4;uniform;1 M;215;4 M;860;1,000;2,62;3,31;438;1421;4666;1,070;0,000;
mysql;4;uniform;1 M;225;4 M;900;0,000;2,57;3,06;457;1414;4645;1,030;0,642;MySQL cant keep up with the troughput (880 op/s). Debezium performing the same way as the database
mysql;5;uniform;1 M;160;5 M;800;1,000;3,49;3,31;437;1275;4176;0,997;0,675;
mysql;5;uniform;1 M;165;5 M;825;0,000;3,51;3,03;446;1298;4264;1,030;0,000;MySQL cant keep up with the troughput (784 op/s). Debezium performing the same way as the database
mysql;6;uniform;1 M;135;6 M;810;1,000;4,37;2,83;458;1265;4150;1,050;0,567;
mysql;6;uniform;1 M;140;6 M;840;0,000;4,37;2,83;476;1244;4083;3,770;0,941;MySQL cant keep up with the troughput (828 op/s). Debezium performing the same way as the database
mysql;7;uniform;1 M;110;7 M;770;1,000;6,03;2,86;437;1074;3523;1,110;2,010;
mysql;7;uniform;1 M;120;7 M;840;0,000;5,51;2,48;484;1176;3868;1,120;1,230;MySQL cant keep up with the troughput (825 op/s). Debezium performing the same way as the database
mysql;8;uniform;1 M;100;8 M;800;1,000;7,18;2,32;467;1031;3389;1,170;2,200;
mysql;8;uniform;1 M;105;8 M;840;0,000;7,02;2,28;498;1037;3411;1,090;0,33;MySQL cant keep up with the troughput (805 op/s). Debezium performing the same way as the database
mysql;9;uniform;1 M;85;9 M;765;1,000;8,73;2,17;450;952;3125;1,180;0,996;
mysql;9;uniform;1 M;90;9 M;810;0,000;8,26;2,14;492;976;3215;1,220;1,88;MySQL cant keep up with the troughput (788 op/s). Debezium performing the same way as the database